,acronym,Phrases
18488,PEEP,positive end-expiratory pressure (PEEP)
18489,FSWGCs,focusing subwavelength grating couplers (FSWGCs)
18490,THL,threshold value (THL)
18491,THL,threshold (THL)
18492,THL,top hard layer (THL)
18493,EAN,ethylammonium nitrate (EAN)
18494,SXE,soft x-ray emission (SXE)
18495,OMA,Outgassing Measurement Apparatus (OMA)
18496,OMA,o-methylanisole (OMA)
18497,OMA,optical multichannel analyzer (OMA)
18498,OMA,oxidized methacrylated alginate (OMA)
18499,TCtep,thermoelectric transition temperature (TCtep)
18500,IEPFs,ion energy probability functions (IEPFs)
18501,PMC,phonon Monte Carlo (PMC)
18502,PMC,perfect magnetic conductor (PMC)
18503,PMC,programmable metallization cell (PMC)
18504,PMC,phase-matching-condition (PMC)
18505,PMC,perpendicular to the miscut (PMC)
18506,PMC,Princeton Measurements Corporation (PMC)
18507,DHT,digital holographic tomography (DHT)
18508,DHT,Deteriorated heat transfer (DHT)
18509,DHT,distinguished hyperbolic trajectory (DHT)
18510,DHT,double half-turn (DHT)
18511,TR-MOKE,time-resolved magneto-optical Kerr effect (TR-MOKE); time-resolved magneto-optical Kerr microscopy (TR-MOKE); Time-Resolved Magneto-optical Kerr Effect (TR-MOKE); time-resolved magneto-optic Kerr effect (TR-MOKE); Time-resolved magneto-optic Kerr effect (TR-MOKE)
18512,TR-MOKE,Time Resolved-Magneto Optic Kerr Effect spectroscopy (TR-MOKE)
18513,XRF,x-ray fluorescence spectroscopy (XRF); X-ray fluorescence spectrometry (XRF); X-ray fluorescence spectroscopy (XRF)
18514,XRF,X-ray fluorescence (XRF); X-Ray Fluorescence (XRF); x-ray fluorescence (XRF)
18515,XRF,X-ray Fluorescence analysis (XRF); X-ray fluorescence analysis (XRF)
18516,HIAF,heavy ion Accelerator Facility (HIAF)
18517,SrM-NPs,strontium hexaferrite nanoparticles (SrM-NPs)
18518,API,application programming interface (API); application program interface (API); Application Programmer's Interface (API); Application Programming Interface (API)
18519,FM-PM,ferromagnetic-paramagnetic (FM-PM)
18520,POR,point-of-reference (POR)
18521,POR,periodic orbit resonance (POR)
18522,ING,inter-neuron-gamma (ING)
18523,ING,interneuron network gamma rhythm (ING)
18524,ERM,entropy reduction model (ERM)
18525,CRASH,Center for Radiative Shock Hydrodynamics (CRASH)
18526,BoB,Bag of Bonds (BoB)
18527,MIRO,microwave-induced resistance oscillations (MIRO)
18528,FIW,fast ionization wave (FIW)
18529,RNAP,RNA polymerase (RNAP)
18530,GCM,Gaussian core model (GCM)
18531,GCM,generalized cell mapping (GCM)
18532,GCM,generalized Cartan matrix (GCM)
18533,GCM,globally coupled map (GCM)
18534,GCM,generalized collective mode (GCM)
18535,RSSs,residual sum of squares (RSSs)
18536,GSa,gigasample (GSa)
18537,STIRAP,Stimulated rapid adiabatic passage (STIRAP); stimulated Raman adiabatic passage (STIRAP); Stimulated Raman Adiabatic Passage (STIRAP)
18538,TOF-MSs,time-of-flight mass spectrometers (TOF-MSs)
18539,FPAs,focal planar arrays (FPAs); focal plane arrays (FPAs)
18540,FPAs,Faraday Plate Arrays (FPAs)
18541,FPAs,focal point analyses (FPAs)
18542,DVS,divinyl sulfone (DVS)
18543,V–L,voltage–luminance (V–L)
18544,ZGNRs,zigzag graphene nanoribbons (ZGNRs)
18545,FFF,Flax Fiber Felt (FFF)
18546,FFF,Field-Flow-Fractionation (FFF); field flow fractionation (FFF)
18547,FFF,fused filament fabrication (FFF)
18548,FFF,"fractionation
Field-flow fractionation (FFF)"
18549,TNOs,triples natural orbitals (TNOs)
18550,SEB,spontaneous exchange bias (SEB)
18551,SEB,single-electron box (SEB)
18552,SEB,single event burnout (SEB)
18553,LPR,localized plasmon resonance (LPR)
18554,LPR,Laser photoreflectance (LPR)
18555,NLSFs,nonlinear least-square fittings (NLSFs)
18556,GDT,Gas Dynamic Trap (GDT); gas-dynamic trap (GDT); gas dynamic trap (GDT)
18557,GDT,gas discharge tube (GDT)
18558,GDT,group delay time (GDT)
18559,ZFs,zonal flows (ZFs)
18560,RSPFL,rolled strip PFL (RSPFL)
18561,DUHWs,degenerate upper hybrid waves (DUHWs); degenerate upper-hybrid waves (DUHWs)
18562,DUHWs,DEGENERATE UPPER HYBRID WAVES (DUHWs)
18563,TDLAS,tunable diode laser absorption spectroscopy (TDLAS)
18564,COV,coefficient of variation (COV); coefficient of variance (COV)
18565,COV,capacitance overlap value (COV)
18566,ZSNRs,ZrSe {2} nanoribbons (ZSNRs)
18567,STQN,synchronous transit-guided quasi-Newton (STQN)
18568,EGF,epidermal growth factor (EGF)
18569,FCIQMC,full configuration interaction quantum Monte Carlo (FCIQMC)
18570,FCIQMC,full configuration interaction QMC (FCIQMC)
18571,FCIQMC,full CIQMC (FCIQMC)
18572,FCIQMC,FCI quantum Monte Carlo (FCIQMC)
18573,SWNT,single wall nanotube (SWNT); single-walled nanotubes (SWNT); single-wall nanotube (SWNT)
18574,SWNT,single-walled carbon nanotube (SWNT); single walled carbon nanotube (SWNT)
18575,HSQ,hydrogen silsequioxane (HSQ); Hydrogen silsesquioxane (HSQ); hydrogen sislsequioxane (HSQ); hydrogen silsesquioxane (HSQ)
18576,TIF,Tagged Image Format (TIF)
18577,OM,optical multistability (OM)
18578,OM,optical microscope (OM); Optical Microscopy (OM); Optical microscopy (OM); optical microscopy (OM)
18579,OM,optical mode (OM); optic mode (OM)
18580,OM,operating margin (OM)
18581,OM,optical modulation (OM)
18582,OM,orbital motion (OM); Orbital Motion (OM)
18583,OM,outer membrane (OM)
18584,OM,oleylamine (OM)
18585,LEDs,Light-emitting devices (LEDs); light-emitting diodes (LEDs); light emitting devices (LEDs); Light-emitting diodes (LEDs); light emitting diodes (LEDs); light emitted diodes (LEDs); light-emitting devices (LEDs); light-emitting-diodes (LEDs); lighting-emitting diodes (LEDs); Light Emitting Diodes (LEDs); light-emmiting diodes (LEDs)
18586,JBS,junction barrier Schottky (JBS); Junction Barrier Schottky (JBS)
18587,FTs,fluctuation theorems (FTs)
18588,FTs,Fourier transforms (FTs)
18589,SAS,small-angle scattering (SAS)
18590,SAS,solvent-accessible surface (SAS); solvent accessible surface (SAS)
18591,SAS,small angle slot (SAS); Small-Angle-Slot (SAS)
18592,SAS,Stokes and anti-Stokes (SAS)
18593,SAS,scale-adaptive simulation (SAS)
18594,SAS,stepwise and the Stokes/anti-Stokes (SAS)
18595,CPP,conventional precursor powder (CPP)
18596,CPP,continuous phase plate (CPP); continuous phase plates (CPP)
18597,CPP,contacted poly pitch (CPP)
18598,CPP,current perpendicular to the plane (CPP); current perpendicular to plane (CPP); current flows perpendicular to the plane (CPP); current-perpendicular-to-the-plane (CPP); current perpendicular to the plan (CPP); Current-Perpendicular-to-Plane (CPP); current-perpendicular-to-plane (CPP); current perpendicular-to-plane (CPP)
18599,CPP,complex polarization propagator (CPP)
18600,CPP,channel plasmon-polariton (CPP)
18601,CPP,causes an electron flow perpendicular to the plane (CPP)
18602,CPP,current-perpendicular (CPP); current perpendicular (CPP)
18603,JRSE,Journal of Renewable and Sustainable Energy (JRSE)
18604,TOCs,transparent conductive layers (TOCs)
18605,PDGs,pulsed dc generators (PDGs)
18606,SCS,sonar cross section (SCS)
18607,SCS,South China Sea (SCS)
18608,SCS,stable form of CS {2} is a linear centrosymmetric structure (SCS)
18609,SCS,Scattering cross section (SCS); scattering cross section (SCS)
18610,SCS,soliton-like coherent structure (SCS)
18611,SCS,scanning capacitance spectroscopy (SCS)
18612,SCS,superconducting current sensor (SCS)
18613,SCS,spin-component-scaled (SCS)
18614,SCS,self-consistent screening (SCS)
18615,SVOCs,semivolatile organic compounds (SVOCs)
18616,DPESs,Diabatic Potential Energy Surfaces (DPESs)
18617,π-JJs,π-shifted JJs (π-JJs)
18618,TPHC,time-to-pulse-height converter (TPHC)
18619,SOS,spin orbital splitting (SOS)
18620,SOS,semiconductor opening switch (SOS); semiconductor opening switches (SOS)
18621,SOS,silica-on-silicon (SOS)
18622,SOS,scaled-opposite spin (SOS)
18623,SOS,sound-of-speed (SOS)
18624,SOS,speed-of-sound (SOS); speed of sound (SOS)
18625,SOS,silicon-on-sapphire (SOS)
18626,SOS,spin-orbit-split (SOS)
18627,SOS,solid-on-solid (SOS)
18628,SOS,sum-over-states (SOS)
18629,ISO,independent system operator (ISO)
18630,ISO,isometric (ISO)
18631,ISO,isolator (ISO)
18632,ISO,International Organization for Standardization (ISO); International Organization of Standardization (ISO)
18633,ISO,ISO-recommended approach (ISO)
18634,ISO,Infrared Space Observatory (ISO)
18635,CDU,capacitor discharge unit (CDU)
18636,MEVVA,MEtal Vapor Vacuum Arc (MEVVA); metal vapor vacuum arc (MEVVA)
18637,GEV,generalized extreme value (GEV)
18638,CFB,CoFeB (CFB)
18639,CFB,circulating fluid bed (CFB); circulating fluidized bed (CFB); circulation fluidized beds (CFB)
18640,IET,integral equation theory (IET)
18641,IET,impulse excitation technique (IET)
18642,GTA,gas tungsten arc (GTA)
18643,MALDI,matrix-assisted laser desorption/ionization (MALDI); Matrix Assisted Laser Desorption/Ionization (MALDI)
18644,RFBs,redox flow batteries (RFBs)
18645,DIPP,diisopentyl phthalate (DIPP)
18646,QCMs,quartz crystal microbalances (QCMs); Quartz Crystal Microbalances (QCMs)
18647,QCMs,quasi-coherent modes (QCMs)
18648,PNOs,pair natural orbitals (PNOs)
18649,AEO,alkyl ethoxylate (AEO)
18650,SC-MCT,self-consistent mode-coupling theory (SC-MCT)
18651,SAFEM,scanning anode field emission microscopy (SAFEM)
18652,SAGBs,Small-angle grain boundaries (SAGBs)
18653,DIIMFP,differential inverse inelastic mean free path (DIIMFP)
18654,FT-ICR-MS,Fourier transform ion cyclotron resonance mass spectrometry (FT-ICR-MS); Fourier Transform Ion Cyclotron Resonance Mass Spectrometer (FT-ICR-MS)
18655,CST,computer simulation technology (CST); Computer Simulation Technology (CST)
18656,CST,combined switchable track (CST)
18657,CST,CST MICROWAVE STUDIO (CST)
18658,CST,coil-stretch transition (CST)
18659,CST,Computer Simulation Technology Microwave Studio (CST)
18660,CST,CST Studio Suite (CST)
18661,UAU,unaware-aware-unaware (UAU)
18662,DPA,dipicolinic acid (DPA)
18663,DPA,Double Parabola Approximation (DPA)
18664,DPA,displacement per atom (DPA)
18665,FVSW,forward volume spin wave (FVSW)
18666,TRPEPICO,time-resolved photoelectron-photoion coincidence (TRPEPICO)
18667,KSCED,Kohn-Sham equations with Constrained Electron Density (KSCED); Kohn–Sham equations with constrained electron densities (KSCED); Kohn–Sham equations with constrained electron density (KSCED)
18668,GENERIC,General Equation for the Non-Equilibrium Reversible-Irreversible Coupling (GENERIC); general equation for nonequilibrium reversible–irreversible coupling (GENERIC)
18669,CIC,cloud-in-cell (CIC); Cloud-in-cell (CIC); cloud-in-cell model (CIC)
18670,CIC,cascaded integrator-comb (CIC); Cascade Integrator-Comb (CIC)
18671,Wf,Wf{0} is the number of nonzero terms #{i(Wf)
18672,Wf,Wire feed rate (Wf)
18673,DRWG,double ridge waveguide (DRWG)
18674,HRSs,high resistance states (HRSs)
18675,DCMS,direct current magnetron sputtering (DCMS)
18676,DCMS,dc magnetically unbalanced magnetron sputtering (DCMS)
18677,APL,active plasma lens (APL)
18678,APL,Area per lipid (APL); area per lipid (APL)
18679,APL,Absorbed Power Loss (APL)
18680,APL,Applied Physics Letter (APL); Applied Physics Letters (APL)
18681,UHB,upper Hubbard band (UHB)
18682,FEST,first excited state tunneling (FEST)
18683,PBRG,polymer-bounded radical generator (PBRG)
18684,VCEL,volume-controlled EL (VCEL)
18685,Fn,fibronectin (Fn)
18686,PRO,proline (PRO); Proline (PRO)
18687,CMI,conditional mutual information (CMI)
18688,SPr,Smith-Purcell radiation (SPr)
18689,STM-TEM,scanning tunneling microscope-transmission electron microscope (STM-TEM)
18690,PLTs,Platelets (PLTs)
18691,ZTFC,zero-temperature Franck-Condon (ZTFC)
18692,NBD,nanobeam electron diffraction (NBD)
18693,NBD,nanobeam diffraction (NBD)
18694,NBD,negative binomial distribution (NBD)
18695,NBD,networks based on birth and death process (NBD)
18696,PIMD,Path Integral Molecular Dynamics (PIMD); path-integral molecular dynamics (PIMD); path integral molecular dynamics (PIMD); path-integral molecular-dynamics (PIMD)
18697,PIMD,PI molecular dynamics (PIMD)
18698,PIMD,path integral MD (PIMD)
18699,TIFR,Tata Institute of Fundamental Research (TIFR)
18700,InGaN,Indium Gallium Nitride (InGaN)
18701,LMEFs,light-molecule endofullerenes (LMEFs)
18702,LRA,Levenberg–Marquardt regression analysis (LRA)
18703,LRA,linear regression analysis (LRA)
18704,HBGs,hybridization bandgaps (HBGs)
18705,MCNPX,Monte Carlo N-Particle eXtended (MCNPX)
18706,OWA,ordered weighted averaging (OWA); ordered weighted average (OWA)
18707,O-O,oblate-oblate (O-O)
18708,TRMS,TIME RESOLVED MASS SPECTROMETRY (TRMS)
18709,TRMS,time-resolved mass spectra (TRMS)
18710,CR-CC,completely renormalized coupled-cluster (CR-CC); completely renormalised coupled-cluster (CR-CC)
18711,RIP,recombination-induced passivation (RIP)
18712,RIP,Radial-Interferometer-Polarimeter (RIP)
18713,SA-MOVPE,selective-area metal-organic vapor phase epitaxy (SA-MOVPE)
18714,MLs,microstrip lines (MLs)
18715,MLs,multilayers (MLs); multilayer films (MLs)
18716,MLs,monolayers (MLs); mono-layers (MLs)
18717,MLs,monatomic layers (MLs)
18718,MLs,multilayered structures (MLs)
18719,QWS,quantum-well state (QWS); quantum well states (QWS)
18720,BETA,Bitter Electromagnet Testing Apparatus (BETA)
18721,GBJ,grain-boundary junction (GBJ); grain boundary junctions (GBJ)
18722,SFCLs,superconducting resistive type fault current limiters (SFCLs); superconducting fault current limiters (SFCLs)
18723,CCLRT,CC linear response theory (CCLRT); CC-based linear response theory (CCLRT)
18724,PFUs,Plasma Facing Units (PFUs)
18725,RPDE,recurrence period density entropy (RPDE)
18726,D-MTJ,dual-barrier MTJ (D-MTJ); Dual-barrier MTJ (D-MTJ)
18727,ERG,electroretinogram (ERG)
18728,MEVELER,maximum entropy velocity Legendre reconstruction (MEVELER); Maximum Entropy Velocity Legendre Reconstruction (MEVELER)
18729,FDT,Fluctuation Dissipation Theorem (FDT); fluctuation dissipation theorem (FDT); Fluctuation-Dissipation Theorem (FDT); fluctuation–dissipation theorem (FDT); fluctuation-dissipation theorem (FDT)
18730,FDT,fluctuations and thus do not obey the fluctuation–dissipation theorem (FDT)
18731,FDT,Fully Developed Turbulence (FDT); fully developed turbulence (FDT)
18732,LMPI,locational marginal price index (LMPI)
18733,GRHs,gamma reaction histories (GRHs)
18734,DTGS,deuterated triglycine sulfate (DTGS)
18735,NUTR,nonuniform transition region (NUTR)
18736,CCE,Charge collection efficiency (CCE); carrier collection efficiency (CCE); Charge Collection Efficiency (CCE); charge collection efficiency (CCE); charge-collection efficiency (CCE); collection efficiency (CCE)
18737,CCE,constrained cubic-equivalent (CCE)
18738,NTE,negative thermal expansion (NTE); negative thermal-expansion (NTE)
18739,MCSM,Monte Carlo Shell-Model (MCSM)
18740,KdV,Korteweg-de Vries (KdV); Korteweg-de-Vries (KdV); Korteweg de Vries (KdV); Korteweg–de Vries (KdV); Korteweg de-Vries (KdV); Korteweg--de Vries (KdV); Korteweg-deVries (KdV); Korteweg–deVries (KdV); Koeteweg-deVries (KdV)
18741,KdV,Korteweg-de Vries equation (KdV)
18742,KdV,KORTEWEG-DE-VRIES (KdV)
18743,MGE,magnetic gradient energy (MGE)
18744,HXRSS,Hard X-Ray Self-Seeding (HXRSS)
18745,Qu,Quercetin (Qu)
18746,SHNOs,spin Hall nano-oscillators (SHNOs)
18747,B–G,Boltzmann–Gibbs (B–G)
18748,BMX,Bryn Mawr Magnetohydrodynamic Experiment (BMX)
18749,L-PM,local orbital disproportionation paramagnetic (L-PM)
18750,FTSP,Frequency-Temperature Superposition Principle (FTSP)
18751,FSS,FINITE-SIZE SCALING (FSS)
18752,FSS,finite-size scaling (FSS); finite size scaling (FSS)
18753,FSS,frequency selective surface (FSS)
18754,FSS,forward stepwise selection (FSS)
18755,FSS,fluid shear stress (FSS)
18756,FSS,filter stacked spectrometer (FSS); filter stack spectrometer (FSS)
18757,FSS,flat sapphire substrate (FSS)
18758,FSS,fine-structure splitting (FSS); fine structure splitting (FSS)
18759,FSS,fixed step size (FSS)
18760,SOR,Successive over Relaxation (SOR); successive-over-relaxation (SOR); Successive Over Relaxation (SOR); successive over-relaxation (SOR); Successive Over-Relaxation (SOR); successive over relaxation (SOR)
18761,SOR,stress-optic rule (SOR); stress-optical rule (SOR)
18762,SOR,solved using over relaxation method (SOR)
18763,O-,Ordinary (O-)
18764,WAAEL,wide-acceptance-angle electrostatic lens (WAAEL)
18765,NIMET,Nigerian Meteorological Agency (NIMET)
18766,MNRM,modified next reaction method (MNRM)
18767,TFY,total fluorescence yield (TFY)
18768,B-TCNE,benzene⋯tetracyanoethylene complex (B-TCNE)
18769,PSAs,phase-sensitive amplifiers (PSAs)
18770,PSAs,pressure sensitive adhesives (PSAs)
18771,BFL,Bio-Acoustics and Flow Laboratory (BFL)
18772,BFL,back focal length (BFL)
18773,SCET,soft collinear effective theory (SCET)
18774,NASs,Non-adhesive spacers (NASs); non-adhesive spacers (NASs)
18775,Cud,called the undischarged capacity (Cud); charges in the undischarged capacity (Cud)
18776,IDB,insertion device beamline (IDB)
18777,IDB,inversion domain boundary (IDB)
18778,MALS,multi-angle light scattering (MALS)
18779,GMA-LAHW,gas metal arc-laser arc hybrid welding (GMA-LAHW)
18780,Uc,U3 pulse and the time-synchronized cathode voltage (Uc)
18781,Mk,Mukherjee (Mk)
18782,MAPEs,Mean absolute percentage errors (MAPEs); mean absolute percentage errors (MAPEs)
18783,Ado,adenosine (Ado)
18784,VMCSCF,vibrational multi-configuration self-consistent field (VMCSCF)
18785,TU-TILD,two-stage upsampled thermodynamic integration using Langevin dynamics (TU-TILD)
18786,PP,perfect pair (PP); perfect pairing (PP); Perfect Pairing (PP)
18787,PP,photoisomerization pressure (PP)
18788,PP,Principal peak (PP); principal peak (PP)
18789,PP,pinning on point-like defects (PP)
18790,PP,pick-up plate (PP)
18791,PP,point pinning (PP); Point pinning (PP)
18792,PP,payback period (PP)
18793,PP,periodic precipitation (PP)
18794,PP,probe-particle (PP)
18795,PP,plane-wave pseudopotential (PP)
18796,PP,pump-probe (PP)
18797,PP,pour point (PP)
18798,PP,perpendicular to the plane (PP)
18799,PP,polymers such as polypropylene (PP)
18800,PP,pellicle on a pneumatic actuator (PP)
18801,PP,Polypropylene (PP); polypropylene (PP)
18802,PP,pseudo-potential (PP); pseudopotential (PP)
18803,PP,periodic patterns (PP)
18804,PP,probing internal motions of an entangled polypropylene (PP)
18805,PP,"point
Pour point (PP)"
18806,PP,Particle-Particle (PP)
18807,PP,pre-polarization (PP)
18808,PP,periodically poled (PP)
18809,PP,porous polypropylene (PP)
18810,PP,Point-to-Point (PP)
18811,PP,placed in the core of the pseudopotential (PP)
18812,PP,Painlevé property (PP)
18813,PP,primary particle (PP)
18814,PP,phenylpyrrole (PP)
18815,PFM,Piezoelectric Force Microscopy (PFM); Piezoelectric Force Microscope (PFM); Piezoelectric force microscopy (PFM); Piezoelectric-force microscopy (PFM); piezoelectric force microscopy (PFM)
18816,PFM,potential using EFM-DC (PFM)
18817,PFM,PFM in the high-J {c} MgB {2} bulks and consequently the B {z} (PFM)
18818,PFM,place frequently during PFM in the MgB {2} bulk and consequently the B {z}(PFM)
18819,PFM,pizeo force microscopy (PFM); piezo force microscope (PFM); piezo-force microscopy (PFM); piezo force microscopic (PFM); piezo force microscopy (PFM)
18820,PFM,Piezoresponse force microscopy (PFM); piezoresponse force microscopy (PFM); piezoresponse force microscope (PFM); Piezoresponse Force Microscopy (PFM); piezo-response force microscopy (PFM)
18821,PFM,Pulse Frequency Modulation (PFM)
18822,PFM,pulsed field magnetisation (PFM); pulsed field magnetization (PFM); Pulsed field magnetization (PFM); pulsed-field magnetization (PFM)
18823,PFM,pulse forming module (PFM)
18824,PFM,parallel flow method (PFM)
18825,α1,α {1} through multiplication with the phase factors corresponding to the V^{(α1)
18826,PHF,projected Hartree–Fock (PHF)
18827,I-to-D,indirect-to-direct (I-to-D)
18828,JAGP,Jastrow AGP (JAGP)
18829,JAGP,Jastrow antisymmetrized geminal power (JAGP); Jastrow antisymmetric geminal power (JAGP)
18830,JAGP,Jastrow correlated antisymmetrized geminal power (JAGP); Jastrow correlated antisymmetric geminal power (JAGP)
18831,FEM/BEM,finite element/boundary element method (FEM/BEM)
18832,MDO,magnetron with diffraction output (MDO)
18833,ARS,approach-retract scanning (ARS)
18834,ARS,Advanced Research System (ARS)
18835,HLMs,heavy liquid metals (HLMs)
18836,TFTCs,thin film thermocouples (TFTCs)
18837,FOI,fractional order integrator (FOI)
18838,ISRO,icosahedral short-range order (ISRO); icosahedral short range order (ISRO)
18839,FIOs,flow-induced oscillations (FIOs)
18840,FIOs,Fourier integral operators (FIOs)
18841,FAI,formamidinium iodide (FAI)
18842,LSAWs,leaky surface acoustic waves (LSAWs)
18843,NISE,National Institute of Solar Energy (NISE)
18844,CaO,calcium oxide (CaO)
18845,Aib,Aib-Ala-(Aib)
18846,Aib,as 2-aminoisobutyric acid (Aib)
18847,NOLMOs,non-orthogonal localized molecular orbitals (NOLMOs)
18848,KU,kurtosis (KU)
18849,KU,Kramers unrestricted (KU)
18850,CTF,contrast transfer functions (CTF); contrast transfer function (CTF); contrast transfer function approach (CTF)
18851,CTF,Cyclops Tensor Framework (CTF)
18852,QWPs,quantum well photodetectors (QWPs)
18853,QWPs,quarter-wave plates (QWPs)
18854,CPARX,conditional parametric autoregression extraneous (CPARX)
18855,CSDs,cluster size distributions (CSDs)
18856,CoFe,CoFe volumetric content in (CoFe)
18857,CoFe,CoFe-rich (CoFe)
18858,CoFe,concluded that the experimental MRE reflection spectra of (CoFe)
18859,SoT,swarm of trajectories (SoT); swarms of trajectories (SoT)
18860,UVOCS,ultra violet ozone cleaning system (UVOCS)
18861,TFC,Thomas-Fermi cell (TFC); Thomas-Fermi-Cell (TFC)
18862,TFC,Thin Film Compression (TFC)
18863,TFC,thermal fly-height control (TFC)
18864,TFC,torque-free-condition (TFC)
18865,TFC,Thomas-Fermi-corrected (TFC)
18866,TFC,total fuel cost (TFC)
18867,TFC,temperature-frequency calibration (TFC)
18868,TFC,Thomas–Fermi with corrections (TFC)
18869,PSTD,pseudo-spectrum time-domain (PSTD)
18870,USMR,unidirectional spin Hall magnetoresistance (USMR)
18871,P-AL,particle and AL (P-AL)
18872,BE-MetaD,bias-exchange metadynamics (BE-MetaD)
18873,ECEs,electrocaloric effects (ECEs)
18874,NEMO,Nucleus for European Modelling of the Ocean (NEMO)
18875,CRW,centered rarefaction wave (CRW)
18876,MPZ,minimum propagating zone (MPZ); minimum propagating zones (MPZ); minimum propagation zone (MPZ)
18877,PINI,positive ion neutral injector (PINI)
18878,SoC,system-on-a-chip (SoC); system on chip (SoC); System-on-Chip (SoC)
18879,SoC,substrate as a “system-on-chip” (SoC)
18880,SoC,state of charge (SoC)
18881,CEF,crystal electric-field (CEF); crystal electric field (CEF); crystalline electric field (CEF); crystalline electric-field (CEF); crystal-electric field (CEF)
18882,CEF,Criminale-Ericksen-Filbey (CEF)
18883,CdO,conductive film originates from the discovery of cadmium oxide (CdO)
18884,CdO,cadmium oxide (CdO)
18885,TRF,torque ripple factor (TRF)
18886,PECAM-1,platelet endothelial cell adhesion molecule-1 (PECAM-1)
18887,OCOO,O {2} molecule form a four-center metastable structure (OCOO)
18888,MgZnO,magnesium zinc oxide (MgZnO)
18889,SXA,soft x-ray absorption (SXA)
18890,IS-MCSCF,inner shell multiconfigurational self-consistent field (IS-MCSCF)
18891,COT,commercial off-the-shelf (COT)
18892,COT,concept of a “correlated orbital theory” (COT)
18893,COT,correlated orbital theory (COT); Correlated Orbital Theory (COT)
18894,COT,cyclo-octatetraene (COT)
18895,ECZ,ethylcarbazole (ECZ)
18896,CNI,Center for NanoImaging (CNI)
18897,QDashes,quantum dashes (QDashes)
18898,DDWS,direct digital waveform synthesizer (DDWS)
18899,N-AR,nonlinear AR models (N-AR)
18900,N-AR,non-linear AR (N-AR)
18901,BHTSMs,bulk high-temperature superconducting magnets (BHTSMs)
18902,FWDMs,filter-based wavelength-division multiplexers (FWDMs)
18903,NESS,non-equilibrium steady states (NESS); nonequilibrium steady state (NESS); non-equilibrium steady state (NESS)
18904,NESS,Nonlinear Electrochemical Soft-Sphere (NESS)
18905,TVB,total variation bounded (TVB)
18906,C-S-H,calcium-silicate-hydrate (C-S-H); Calcium Silicate Hydrates (C-S-H); calcium-silicate hydrates (C-S-H); calcium silicate hydrates (C-S-H)
18907,TY,tryptone-yeast extract (TY)
18908,TY,total electron yield (TY)
18909,PDVCs,particle displacement vector components (PDVCs)
18910,PGEN,pillared graphene-epoxy nanocomposite (PGEN)
18911,SGAs,strain glass alloys (SGAs)
18912,FGA,forming gas anneals (FGA); Forming Gas Annealing (FGA); forming gas anneal (FGA); forming gas annealing (FGA)
18913,FRs,Faraday rotations (FRs)
18914,FRs,Fermi resonances (FRs)
18915,SCVB,spin-coupled VB (SCVB)
18916,COE,constrained orthorhombic-equivalent (COE)
18917,F–d,Force–distance curve (F–d)
18918,PEFC,polymer electrolyte fuel cell (PEFC)
18919,ELS,exposure latitude slope (ELS)
18920,ELS,edge-layer solution (ELS)
18921,ELS,extended Löwdin-Shull (ELS)
18922,ELS,electronic line stretcher (ELS)
18923,TD-KS,time-dependent Kohn-Sham (TD-KS)
18924,DONUT,Dusty Ohio Northern University experimenT (DONUT); Dusty Ohio Northern University experiment (DONUT)
18925,ECX,European Climate Exchange (ECX)
18926,EU-ETS,European Union's Emissions Trading System (EU-ETS)
18927,AMFET,a microscopic perspective as well as the average first exit time (AMFET)
18928,AMFET,average mean first exit time (AMFET)
18929,REU,relatively easy uniaxial (REU)
18930,GIXS,grazing incidence x-ray scattering (GIXS); grazing incident x-ray scattering (GIXS)
18931,NPED,Nano-beam Precession Electron Diffraction (NPED)
18932,JJAs,Josephson junction arrays (JJAs)
18933,Ads,adsorption (Ads)
18934,TWEPL,two-wavelength-excited photoluminescence (TWEPL)
18935,STXM,scanning transmission X-ray microscopy (STXM); Scanning Transmission X-ray Microscopy (STXM); scanning transmission x-ray microscope (STXM); scanning transmission x-ray microscopy (STXM)
18936,EOMs,effects profiting from the classical-like equations of motion (EOMs)
18937,EOMs,electro-optical modulators (EOMs); electro-optic modulators (EOMs)
18938,EOMs,ETHD originates from the Heisenberg equations of motion (EOMs)
18939,EOMs,evolution of the TDH state in terms of equations of motion (EOMs)
18940,KGEs,Klein-Gordon equations (KGEs); Klein-Gordon's Equations (KGEs)
18941,VEAs,vertical electron affinities (VEAs)
18942,ELPs,elastin-like polypeptides (ELPs)
18943,QSLs,quasi-separatrix layers (QSLs)
18944,EFM-DC,Electrostatic Force Microscopy Dynamic Contact (EFM-DC)
18945,EHSS,Exact Hard Sphere Scattering (EHSS)
18946,GeCCo,General Contraction Code (GeCCo)
18947,Cav,called the available capacity (Cav)
18948,TSc,TS {c} vs T and (TSc)
18949,TSc,there is a breakdown of the MCT power law behavior of (TSc)
18950,MESS,Master Equation System Solver (MESS)
18951,MSWS,metamaterial slow wave structure (MSWS)
18952,NADs,Neutron Activation Diagnostics (NADs); neutron activation diagnostics (NADs)
18953,SwRI,Southwest Research Institute (SwRI)
18954,PMZ,partially melted zone (PMZ)
18955,IDD,ionic drift-diffusion (IDD)
